package,version,license
acorn,8.18.0,MIT
acorn-jsx,5.3.2,MIT
agent-base,7.1.4,MIT
ajv,6.15.0,MIT
ansi-colors,4.1.3,MIT
ansi-escapes,7.3.0,MIT
ansi-regex,5.0.1,MIT
ansi-regex,6.2.2,MIT
ansi-styles,4.3.0,MIT
ansi-styles,5.2.0,MIT
ansi-styles,6.2.3,MIT
antd,5.29.3,MIT
argparse,2.0.1,Python-2.0
aria-query,5.3.0,Apache-2.0
aria-query,5.3.2,Apache-2.0
assertion-error,2.0.1,MIT
ast-v8-to-istanbul,0.3.12,MIT
balanced-match,1.0.2,MIT
balanced-match,4.0.4,MIT
baseline-browser-mapping,2.11.12,Apache-2.0
brace-expansion,1.1.18,MIT
brace-expansion,2.1.4,MIT
brace-expansion,5.0.9,MIT
browserslist,4.28.7,MIT
cac,6.7.14,MIT
callsites,3.1.0,MIT
caniuse-lite,1.0.30001807,CC-BY-4.0
chai,5.3.3,MIT
chalk,4.1.2,MIT
change-case,5.4.4,MIT
check-error,2.1.3,MIT
classnames,2.5.1,MIT
cli-cursor,5.0.0,MIT
cli-truncate,5.2.0,MIT
cli-width,4.1.0,ISC
cliui,8.0.1,ISC
clsx,2.1.1,MIT
color-convert,2.0.1,MIT
color-name,1.1.4,MIT
colorette,1.4.0,MIT
colorette,2.0.20,MIT
commander,14.0.3,MIT
compute-scroll-into-view,3.1.1,MIT
concat-map,0.0.1,MIT
convert-source-map,2.0.0,MIT
cookie,1.1.1,MIT
copy-to-clipboard,3.3.3,MIT
cross-fetch,4.0.0,MIT
cross-spawn,7.0.6,MIT
css.escape,1.5.1,MIT
cssstyle,4.6.0,MIT
csstype,3.2.3,MIT
data-urls,5.0.0,MIT
dayjs,1.11.21,MIT
debug,4.4.3,MIT
decimal.js,10.6.0,MIT
deep-eql,5.0.2,MIT
deep-is,0.1.4,MIT
dequal,2.0.3,MIT
dom-accessibility-api,0.5.16,MIT
dom-accessibility-api,0.6.3,MIT
eastasianwidth,0.2.0,MIT
electron-to-chromium,1.5.402,ISC
emoji-regex,10.6.0,MIT
emoji-regex,8.0.0,MIT
emoji-regex,9.2.2,MIT
entities,6.0.1,BSD-2-Clause
environment,1.1.0,MIT
es-module-lexer,1.7.0,MIT
esbuild,0.25.12,MIT
escalade,3.2.0,MIT
escape-string-regexp,4.0.0,MIT
eslint,9.39.5,MIT
eslint-plugin-react-hooks,5.2.0,MIT
eslint-plugin-react-refresh,0.4.26,MIT
eslint-scope,8.4.0,BSD-2-Clause
eslint-visitor-keys,3.4.3,Apache-2.0
eslint-visitor-keys,4.2.1,Apache-2.0
eslint-visitor-keys,5.0.1,Apache-2.0
espree,10.4.0,BSD-2-Clause
esquery,1.7.0,BSD-3-Clause
esrecurse,4.3.0,BSD-2-Clause
estraverse,5.3.0,BSD-2-Clause
estree-walker,3.0.3,MIT
esutils,2.0.3,BSD-2-Clause
eventemitter3,5.0.4,MIT
expect-type,1.4.0,Apache-2.0
fast-deep-equal,3.1.3,MIT
fast-json-stable-stringify,2.1.0,MIT
fast-levenshtein,2.0.6,MIT
fast-string-truncated-width,3.0.3,MIT
fast-string-width,3.0.2,MIT
fast-wrap-ansi,0.2.2,MIT
fdir,6.5.0,MIT
file-entry-cache,8.0.0,MIT
find-up,5.0.0,MIT
flat-cache,4.0.1,MIT
flatted,3.4.4,ISC
foreground-child,3.3.1,ISC
fsevents,2.3.2,MIT
fsevents,2.3.3,MIT
gensync,1.0.0-beta.2,MIT
get-caller-file,2.0.5,ISC
get-east-asian-width,1.6.0,MIT
glob,10.5.0,ISC
glob-parent,6.0.2,ISC
globals,14.0.0,MIT
globals,16.5.0,MIT
graphql,16.14.2,MIT
has-flag,4.0.0,MIT
headers-polyfill,5.0.1,MIT
html-encoding-sniffer,4.0.0,MIT
html-escaper,2.0.2,MIT
html-parse-stringify,3.1.0,MIT
http-proxy-agent,7.0.2,MIT
https-proxy-agent,7.0.6,MIT
husky,9.1.7,MIT
i18next,23.16.8,MIT
i18next-http-backend,2.7.3,MIT
iconv-lite,0.6.3,MIT
ignore,5.3.2,MIT
ignore,7.0.6,MIT
import-fresh,3.3.1,MIT
imurmurhash,0.1.4,MIT
indent-string,4.0.0,MIT
index-to-position,1.2.0,MIT
is-extglob,2.1.1,MIT
is-fullwidth-code-point,3.0.0,MIT
is-fullwidth-code-point,5.1.0,MIT
is-glob,4.0.3,MIT
is-mobile,5.0.0,MIT
is-node-process,1.2.0,MIT
is-potential-custom-element-name,1.0.1,MIT
isexe,2.0.0,ISC
istanbul-lib-coverage,3.2.2,BSD-3-Clause
istanbul-lib-report,3.0.1,BSD-3-Clause
istanbul-lib-source-maps,5.0.6,BSD-3-Clause
istanbul-reports,3.2.0,BSD-3-Clause
its-fine,1.2.5,MIT
jackspeak,3.4.3,BlueOak-1.0.0
js-levenshtein,1.1.6,MIT
js-tokens,10.0.0,MIT
js-tokens,4.0.0,MIT
js-tokens,9.0.1,MIT
js-yaml,4.3.0,MIT
js-yaml,4.3.1,MIT
jsdom,26.1.0,MIT
jsesc,3.1.0,MIT
json-buffer,3.0.1,MIT
json-schema-traverse,0.4.1,MIT
json-schema-traverse,1.0.0,MIT
json-stable-stringify-without-jsonify,1.0.1,MIT
json2mq,0.2.0,MIT
json5,2.2.3,MIT
keyv,4.5.4,MIT
konva,9.3.22,MIT
levn,0.4.1,MIT
lint-staged,16.4.0,MIT
listr2,9.0.5,MIT
locate-path,6.0.0,MIT
lodash.merge,4.6.2,MIT
log-update,6.1.0,MIT
loose-envify,1.4.0,MIT
loupe,3.2.1,MIT
lru-cache,10.4.3,ISC
lru-cache,5.1.1,ISC
lz-string,1.5.0,MIT
magic-string,0.30.21,MIT
magicast,0.3.5,MIT
make-dir,4.0.0,MIT
mimic-function,5.0.1,MIT
min-indent,1.0.1,MIT
minimatch,10.2.6,BlueOak-1.0.0
minimatch,3.1.5,ISC
minimatch,5.1.9,ISC
minimatch,9.0.9,ISC
minipass,7.1.3,BlueOak-1.0.0
ms,2.1.3,MIT
msw,2.15.0,MIT
mute-stream,3.0.0,ISC
nanoid,3.3.17,MIT
natural-compare,1.4.0,MIT
node-fetch,2.7.0,MIT
node-releases,2.0.53,MIT
nwsapi,2.2.24,MIT
onetime,7.0.0,MIT
openapi-fetch,0.13.8,MIT
openapi-typescript,7.13.0,MIT
openapi-typescript-helpers,0.0.15,MIT
optionator,0.9.4,MIT
outvariant,1.4.3,MIT
p-limit,3.1.0,MIT
p-locate,5.0.0,MIT
package-json-from-dist,1.0.1,BlueOak-1.0.0
parent-module,1.0.1,MIT
parse-json,8.3.0,MIT
parse5,7.3.0,MIT
path-exists,4.0.0,MIT
path-key,3.1.1,MIT
path-scurry,1.11.1,BlueOak-1.0.0
path-to-regexp,6.3.0,MIT
pathe,2.0.3,MIT
pathval,2.0.1,MIT
picocolors,1.1.1,ISC
picomatch,4.0.5,MIT
playwright,1.62.1,Apache-2.0
playwright-core,1.62.1,Apache-2.0
pluralize,8.0.0,MIT
postcss,8.5.26,MIT
prelude-ls,1.2.1,MIT
prettier,3.9.6,MIT
pretty-format,27.5.1,MIT
punycode,2.3.1,MIT
rc-cascader,3.34.0,MIT
rc-checkbox,3.5.0,MIT
rc-collapse,3.9.0,MIT
rc-dialog,9.6.0,MIT
rc-drawer,7.3.0,MIT
rc-dropdown,4.2.1,MIT
rc-field-form,2.7.1,MIT
rc-image,7.12.0,MIT
rc-input,1.8.0,MIT
rc-input-number,9.5.0,MIT
rc-mentions,2.20.0,MIT
rc-menu,9.16.1,MIT
rc-motion,2.9.5,MIT
rc-notification,5.6.4,MIT
rc-overflow,1.5.0,MIT
rc-pagination,5.1.0,MIT
rc-picker,4.11.3,MIT
rc-progress,4.0.0,MIT
rc-rate,2.13.1,MIT
rc-resize-observer,1.4.3,MIT
rc-segmented,2.7.1,MIT
rc-select,14.16.8,MIT
rc-slider,11.1.9,MIT
rc-steps,6.0.1,MIT
rc-switch,4.1.0,MIT
rc-table,7.54.0,MIT
rc-tabs,15.7.0,MIT
