server,package,version,license
fe-frontend,acorn,8.18.0,MIT
fe-frontend,acorn-jsx,5.3.2,MIT
fe-frontend,agent-base,7.1.4,MIT
fe-frontend,ajv,6.15.0,MIT
fe-frontend,ansi-colors,4.1.3,MIT
fe-frontend,ansi-escapes,7.3.0,MIT
fe-frontend,ansi-regex,5.0.1,MIT
fe-frontend,ansi-regex,6.2.2,MIT
fe-frontend,ansi-styles,4.3.0,MIT
fe-frontend,ansi-styles,5.2.0,MIT
fe-frontend,ansi-styles,6.2.3,MIT
fe-frontend,antd,5.29.3,MIT
fe-frontend,argparse,2.0.1,Python-2.0
fe-frontend,aria-query,5.3.0,Apache-2.0
fe-frontend,aria-query,5.3.2,Apache-2.0
fe-frontend,assertion-error,2.0.1,MIT
fe-frontend,ast-v8-to-istanbul,0.3.12,MIT
fe-frontend,balanced-match,1.0.2,MIT
fe-frontend,balanced-match,4.0.4,MIT
fe-frontend,baseline-browser-mapping,2.11.12,Apache-2.0
fe-frontend,brace-expansion,1.1.18,MIT
fe-frontend,brace-expansion,2.1.4,MIT
fe-frontend,brace-expansion,5.0.9,MIT
fe-frontend,browserslist,4.28.7,MIT
fe-frontend,cac,6.7.14,MIT
fe-frontend,callsites,3.1.0,MIT
fe-frontend,caniuse-lite,1.0.30001807,CC-BY-4.0
fe-frontend,chai,5.3.3,MIT
fe-frontend,chalk,4.1.2,MIT
fe-frontend,change-case,5.4.4,MIT
fe-frontend,check-error,2.1.3,MIT
fe-frontend,classnames,2.5.1,MIT
fe-frontend,cli-cursor,5.0.0,MIT
fe-frontend,cli-truncate,5.2.0,MIT
fe-frontend,cli-width,4.1.0,ISC
fe-frontend,cliui,8.0.1,ISC
fe-frontend,clsx,2.1.1,MIT
fe-frontend,color-convert,2.0.1,MIT
fe-frontend,color-name,1.1.4,MIT
fe-frontend,colorette,1.4.0,MIT
fe-frontend,colorette,2.0.20,MIT
fe-frontend,commander,14.0.3,MIT
fe-frontend,compute-scroll-into-view,3.1.1,MIT
fe-frontend,concat-map,0.0.1,MIT
fe-frontend,convert-source-map,2.0.0,MIT
fe-frontend,cookie,1.1.1,MIT
fe-frontend,copy-to-clipboard,3.3.3,MIT
fe-frontend,cross-fetch,4.0.0,MIT
fe-frontend,cross-spawn,7.0.6,MIT
fe-frontend,css.escape,1.5.1,MIT
fe-frontend,cssstyle,4.6.0,MIT
fe-frontend,csstype,3.2.3,MIT
fe-frontend,data-urls,5.0.0,MIT
fe-frontend,dayjs,1.11.21,MIT
fe-frontend,debug,4.4.3,MIT
fe-frontend,decimal.js,10.6.0,MIT
fe-frontend,deep-eql,5.0.2,MIT
fe-frontend,deep-is,0.1.4,MIT
fe-frontend,dequal,2.0.3,MIT
fe-frontend,dom-accessibility-api,0.5.16,MIT
fe-frontend,dom-accessibility-api,0.6.3,MIT
fe-frontend,eastasianwidth,0.2.0,MIT
fe-frontend,electron-to-chromium,1.5.402,ISC
fe-frontend,emoji-regex,10.6.0,MIT
fe-frontend,emoji-regex,8.0.0,MIT
fe-frontend,emoji-regex,9.2.2,MIT
fe-frontend,entities,6.0.1,BSD-2-Clause
fe-frontend,environment,1.1.0,MIT
fe-frontend,es-module-lexer,1.7.0,MIT
fe-frontend,esbuild,0.25.12,MIT
fe-frontend,escalade,3.2.0,MIT
fe-frontend,escape-string-regexp,4.0.0,MIT
fe-frontend,eslint,9.39.5,MIT
fe-frontend,eslint-plugin-react-hooks,5.2.0,MIT
fe-frontend,eslint-plugin-react-refresh,0.4.26,MIT
fe-frontend,eslint-scope,8.4.0,BSD-2-Clause
fe-frontend,eslint-visitor-keys,3.4.3,Apache-2.0
fe-frontend,eslint-visitor-keys,4.2.1,Apache-2.0
fe-frontend,eslint-visitor-keys,5.0.1,Apache-2.0
fe-frontend,espree,10.4.0,BSD-2-Clause
fe-frontend,esquery,1.7.0,BSD-3-Clause
fe-frontend,esrecurse,4.3.0,BSD-2-Clause
fe-frontend,estraverse,5.3.0,BSD-2-Clause
fe-frontend,estree-walker,3.0.3,MIT
fe-frontend,esutils,2.0.3,BSD-2-Clause
fe-frontend,eventemitter3,5.0.4,MIT
fe-frontend,expect-type,1.4.0,Apache-2.0
fe-frontend,fast-deep-equal,3.1.3,MIT
fe-frontend,fast-json-stable-stringify,2.1.0,MIT
fe-frontend,fast-levenshtein,2.0.6,MIT
fe-frontend,fast-string-truncated-width,3.0.3,MIT
fe-frontend,fast-string-width,3.0.2,MIT
fe-frontend,fast-wrap-ansi,0.2.2,MIT
fe-frontend,fdir,6.5.0,MIT
fe-frontend,file-entry-cache,8.0.0,MIT
fe-frontend,find-up,5.0.0,MIT
fe-frontend,flat-cache,4.0.1,MIT
fe-frontend,flatted,3.4.4,ISC
fe-frontend,foreground-child,3.3.1,ISC
fe-frontend,fsevents,2.3.2,MIT
fe-frontend,fsevents,2.3.3,MIT
fe-frontend,gensync,1.0.0-beta.2,MIT
fe-frontend,get-caller-file,2.0.5,ISC
fe-frontend,get-east-asian-width,1.6.0,MIT
fe-frontend,glob,10.5.0,ISC
fe-frontend,glob-parent,6.0.2,ISC
fe-frontend,globals,14.0.0,MIT
fe-frontend,globals,16.5.0,MIT
fe-frontend,graphql,16.14.2,MIT
fe-frontend,has-flag,4.0.0,MIT
fe-frontend,headers-polyfill,5.0.1,MIT
fe-frontend,html-encoding-sniffer,4.0.0,MIT
fe-frontend,html-escaper,2.0.2,MIT
fe-frontend,html-parse-stringify,3.1.0,MIT
fe-frontend,http-proxy-agent,7.0.2,MIT
fe-frontend,https-proxy-agent,7.0.6,MIT
fe-frontend,husky,9.1.7,MIT
fe-frontend,i18next,23.16.8,MIT
fe-frontend,i18next-http-backend,2.7.3,MIT
fe-frontend,iconv-lite,0.6.3,MIT
fe-frontend,ignore,5.3.2,MIT
fe-frontend,ignore,7.0.6,MIT
fe-frontend,import-fresh,3.3.1,MIT
fe-frontend,imurmurhash,0.1.4,MIT
fe-frontend,indent-string,4.0.0,MIT
fe-frontend,index-to-position,1.2.0,MIT
fe-frontend,is-extglob,2.1.1,MIT
fe-frontend,is-fullwidth-code-point,3.0.0,MIT
fe-frontend,is-fullwidth-code-point,5.1.0,MIT
fe-frontend,is-glob,4.0.3,MIT
fe-frontend,is-mobile,5.0.0,MIT
fe-frontend,is-node-process,1.2.0,MIT
fe-frontend,is-potential-custom-element-name,1.0.1,MIT
fe-frontend,isexe,2.0.0,ISC
fe-frontend,istanbul-lib-coverage,3.2.2,BSD-3-Clause
fe-frontend,istanbul-lib-report,3.0.1,BSD-3-Clause
fe-frontend,istanbul-lib-source-maps,5.0.6,BSD-3-Clause
fe-frontend,istanbul-reports,3.2.0,BSD-3-Clause
fe-frontend,its-fine,1.2.5,MIT
fe-frontend,jackspeak,3.4.3,BlueOak-1.0.0
fe-frontend,js-levenshtein,1.1.6,MIT
fe-frontend,js-tokens,10.0.0,MIT
fe-frontend,js-tokens,4.0.0,MIT
fe-frontend,js-tokens,9.0.1,MIT
fe-frontend,js-yaml,4.3.0,MIT
fe-frontend,js-yaml,4.3.1,MIT
fe-frontend,jsdom,26.1.0,MIT
fe-frontend,jsesc,3.1.0,MIT
fe-frontend,json-buffer,3.0.1,MIT
fe-frontend,json-schema-traverse,0.4.1,MIT
fe-frontend,json-schema-traverse,1.0.0,MIT
fe-frontend,json-stable-stringify-without-jsonify,1.0.1,MIT
fe-frontend,json2mq,0.2.0,MIT
fe-frontend,json5,2.2.3,MIT
fe-frontend,keyv,4.5.4,MIT
fe-frontend,konva,9.3.22,MIT
fe-frontend,levn,0.4.1,MIT
fe-frontend,lint-staged,16.4.0,MIT
fe-frontend,listr2,9.0.5,MIT
fe-frontend,locate-path,6.0.0,MIT
fe-frontend,lodash.merge,4.6.2,MIT
fe-frontend,log-update,6.1.0,MIT
fe-frontend,loose-envify,1.4.0,MIT
fe-frontend,loupe,3.2.1,MIT
fe-frontend,lru-cache,10.4.3,ISC
fe-frontend,lru-cache,5.1.1,ISC
fe-frontend,lz-string,1.5.0,MIT
fe-frontend,magic-string,0.30.21,MIT
fe-frontend,magicast,0.3.5,MIT
fe-frontend,make-dir,4.0.0,MIT
fe-frontend,mimic-function,5.0.1,MIT
fe-frontend,min-indent,1.0.1,MIT
fe-frontend,minimatch,10.2.6,BlueOak-1.0.0
fe-frontend,minimatch,3.1.5,ISC
fe-frontend,minimatch,5.1.9,ISC
fe-frontend,minimatch,9.0.9,ISC
fe-frontend,minipass,7.1.3,BlueOak-1.0.0
fe-frontend,ms,2.1.3,MIT
fe-frontend,msw,2.15.0,MIT
fe-frontend,mute-stream,3.0.0,ISC
fe-frontend,nanoid,3.3.17,MIT
fe-frontend,natural-compare,1.4.0,MIT
fe-frontend,node-fetch,2.7.0,MIT
fe-frontend,node-releases,2.0.53,MIT
fe-frontend,nwsapi,2.2.24,MIT
fe-frontend,onetime,7.0.0,MIT
fe-frontend,openapi-fetch,0.13.8,MIT
fe-frontend,openapi-typescript,7.13.0,MIT
fe-frontend,openapi-typescript-helpers,0.0.15,MIT
fe-frontend,optionator,0.9.4,MIT
fe-frontend,outvariant,1.4.3,MIT
fe-frontend,p-limit,3.1.0,MIT
fe-frontend,p-locate,5.0.0,MIT
fe-frontend,package-json-from-dist,1.0.1,BlueOak-1.0.0
fe-frontend,parent-module,1.0.1,MIT
fe-frontend,parse-json,8.3.0,MIT
fe-frontend,parse5,7.3.0,MIT
fe-frontend,path-exists,4.0.0,MIT
fe-frontend,path-key,3.1.1,MIT
fe-frontend,path-scurry,1.11.1,BlueOak-1.0.0
fe-frontend,path-to-regexp,6.3.0,MIT
fe-frontend,pathe,2.0.3,MIT
fe-frontend,pathval,2.0.1,MIT
fe-frontend,picocolors,1.1.1,ISC
fe-frontend,picomatch,4.0.5,MIT
fe-frontend,playwright,1.62.1,Apache-2.0
fe-frontend,playwright-core,1.62.1,Apache-2.0
fe-frontend,pluralize,8.0.0,MIT
fe-frontend,postcss,8.5.26,MIT
fe-frontend,prelude-ls,1.2.1,MIT
fe-frontend,prettier,3.9.6,MIT
fe-frontend,pretty-format,27.5.1,MIT
fe-frontend,punycode,2.3.1,MIT
fe-frontend,rc-cascader,3.34.0,MIT
fe-frontend,rc-checkbox,3.5.0,MIT
fe-frontend,rc-collapse,3.9.0,MIT
fe-frontend,rc-dialog,9.6.0,MIT
fe-frontend,rc-drawer,7.3.0,MIT
fe-frontend,rc-dropdown,4.2.1,MIT
fe-frontend,rc-field-form,2.7.1,MIT
fe-frontend,rc-image,7.12.0,MIT
fe-frontend,rc-input,1.8.0,MIT
fe-frontend,rc-input-number,9.5.0,MIT
fe-frontend,rc-mentions,2.20.0,MIT
fe-frontend,rc-menu,9.16.1,MIT
fe-frontend,rc-motion,2.9.5,MIT
fe-frontend,rc-notification,5.6.4,MIT
fe-frontend,rc-overflow,1.5.0,MIT
fe-frontend,rc-pagination,5.1.0,MIT
fe-frontend,rc-picker,4.11.3,MIT
fe-frontend,rc-progress,4.0.0,MIT
fe-frontend,rc-rate,2.13.1,MIT
fe-frontend,rc-resize-observer,1.4.3,MIT
fe-frontend,rc-segmented,2.7.1,MIT
fe-frontend,rc-select,14.16.8,MIT
fe-frontend,rc-slider,11.1.9,MIT
fe-frontend,rc-steps,6.0.1,MIT
fe-frontend,rc-switch,4.1.0,MIT
fe-frontend,rc-table,7.54.0,MIT
fe-frontend,rc-tabs,15.7.0,MIT
fe-frontend,rc-textarea,1.10.2,MIT
fe-frontend,rc-tooltip,6.4.0,MIT
fe-frontend,rc-tree,5.13.1,MIT
fe-frontend,rc-tree-select,5.27.0,MIT
fe-frontend,rc-upload,4.11.0,MIT
fe-frontend,rc-util,5.44.4,MIT
fe-frontend,rc-virtual-list,3.19.2,MIT
fe-frontend,react,18.3.1,MIT
fe-frontend,react-dom,18.3.1,MIT
fe-frontend,react-i18next,15.7.4,MIT
fe-frontend,react-is,17.0.2,MIT
fe-frontend,react-is,18.3.1,MIT
fe-frontend,react-is,19.2.8,MIT
fe-frontend,react-konva,18.2.16,MIT
fe-frontend,react-reconciler,0.29.2,MIT
fe-frontend,react-refresh,0.17.0,MIT
fe-frontend,react-router,7.18.2,MIT
fe-frontend,redent,3.0.0,MIT
fe-frontend,require-directory,2.1.1,MIT
fe-frontend,require-from-string,2.0.2,MIT
fe-frontend,resize-observer-polyfill,1.5.1,MIT
fe-frontend,resolve-from,4.0.0,MIT
fe-frontend,restore-cursor,5.1.0,MIT
fe-frontend,rettime,0.11.11,MIT
fe-frontend,rfdc,1.4.1,MIT
fe-frontend,rollup,4.62.4,MIT
fe-frontend,rrweb-cssom,0.8.0,MIT
fe-frontend,safer-buffer,2.1.2,MIT
fe-frontend,saxes,6.0.0,ISC
fe-frontend,scheduler,0.23.2,MIT
fe-frontend,scroll-into-view-if-needed,3.1.0,MIT
fe-frontend,semver,6.3.1,ISC
fe-frontend,semver,7.8.5,ISC
fe-frontend,set-cookie-parser,2.7.2,MIT
fe-frontend,set-cookie-parser,3.1.2,MIT
fe-frontend,shebang-command,2.0.0,MIT
fe-frontend,shebang-regex,3.0.0,MIT
fe-frontend,siginfo,2.0.0,ISC
fe-frontend,signal-exit,4.1.0,ISC
fe-frontend,slice-ansi,7.1.2,MIT
fe-frontend,slice-ansi,8.0.0,MIT
fe-frontend,source-map-js,1.2.1,BSD-3-Clause
fe-frontend,stackback,0.0.2,MIT
fe-frontend,statuses,2.0.2,MIT
fe-frontend,std-env,3.10.0,MIT
fe-frontend,strict-event-emitter,0.5.1,MIT
fe-frontend,string-argv,0.3.2,MIT
fe-frontend,string-convert,0.2.1,MIT
fe-frontend,string-width,4.2.3,MIT
fe-frontend,string-width,5.1.2,MIT
fe-frontend,string-width,7.2.0,MIT
fe-frontend,string-width,8.2.2,MIT
fe-frontend,strip-ansi,6.0.1,MIT
fe-frontend,strip-ansi,7.2.0,MIT
fe-frontend,strip-indent,3.0.0,MIT
fe-frontend,strip-json-comments,3.1.1,MIT
fe-frontend,strip-literal,3.1.0,MIT
fe-frontend,stylis,4.4.0,MIT
fe-frontend,supports-color,10.2.2,MIT
fe-frontend,supports-color,7.2.0,MIT
fe-frontend,symbol-tree,3.2.4,MIT
fe-frontend,tagged-tag,1.0.0,MIT
fe-frontend,test-exclude,7.0.2,ISC
fe-frontend,throttle-debounce,5.0.2,MIT
fe-frontend,tinybench,2.9.0,MIT
fe-frontend,tinyexec,0.3.2,MIT
fe-frontend,tinyexec,1.3.0,MIT
fe-frontend,tinyglobby,0.2.17,MIT
fe-frontend,tinypool,1.1.1,MIT
fe-frontend,tinyrainbow,2.0.0,MIT
fe-frontend,tinyspy,4.0.4,MIT
fe-frontend,tldts,6.1.86,MIT
fe-frontend,tldts,7.4.10,MIT
fe-frontend,tldts-core,6.1.86,MIT
fe-frontend,tldts-core,7.4.10,MIT
fe-frontend,toggle-selection,1.0.6,MIT
fe-frontend,tough-cookie,5.1.2,BSD-3-Clause
fe-frontend,tough-cookie,6.0.2,BSD-3-Clause
fe-frontend,tr46,0.0.3,MIT
fe-frontend,tr46,5.1.1,MIT
fe-frontend,ts-api-utils,2.5.0,MIT
fe-frontend,type-check,0.4.0,MIT
fe-frontend,type-fest,4.41.0,(MIT OR CC0-1.0)
fe-frontend,type-fest,5.8.0,(MIT OR CC0-1.0)
fe-frontend,typescript,5.9.3,Apache-2.0
fe-frontend,typescript-eslint,8.66.0,MIT
