package,version,license
PyYAML,6.0.3,MIT
annotated-types,0.8.0,MIT
anyio,4.14.2,MIT
cffi,2.1.1,MIT-0
charset-normalizer,3.4.9,MIT
click,8.4.2,BSD-3-Clause
cryptography,50.0.0,Apache-2.0 OR BSD-3-Clause
fastapi,0.115.6,OSI Approved :: MIT License
grpcio,1.68.1,Apache License 2.0
grpcio-tools,1.68.1,Apache License 2.0
h11,0.16.0,MIT
httptools,0.8.0,MIT
idna,3.18,BSD-3-Clause
pdfminer.six,20231228,MIT/X
pdfplumber,0.11.4,OSI Approved :: MIT License
pillow,12.3.0,MIT-CMU
pip,24.2,MIT
prometheus_client,0.21.1,Apache Software License 2.0
protobuf,5.29.1,3-Clause BSD License
psycopg,3.2.3,GNU Lesser General Public License v3 (LGPLv3)
psycopg-binary,3.2.3,GNU Lesser General Public License v3 (LGPLv3)
pycparser,3.0,BSD-3-Clause
pydantic,2.13.4,MIT
pydantic_core,2.46.4,MIT
pypdfium2,5.12.1,"BSD-3-Clause, Apache-2.0, dependency licenses"
python-dotenv,1.2.2,BSD-3-Clause
setuptools,84.0.0,MIT
starlette,0.41.3,BSD-3-Clause
typing-inspection,0.4.3,MIT
typing_extensions,4.16.0,PSF-2.0
uvicorn,0.34.0,BSD-3-Clause
uvloop,0.22.1,MIT License
watchfiles,1.2.0,MIT
websockets,17.0.1,BSD-3-Clause
