package,version,license
PyYAML,6.0.3,MIT
annotated-types,0.8.0,MIT
anyio,4.14.2,MIT
click,8.4.2,BSD-3-Clause
fastapi,0.115.6,OSI Approved :: MIT License
grpcio,1.68.1,Apache License 2.0
grpcio-tools,1.68.1,Apache License 2.0
h11,0.16.0,MIT
httptools,0.8.0,MIT
idna,3.18,BSD-3-Clause
numpy,2.1.3,"Copyright (c) 2005-2024, NumPy Developers."
pip,24.2,MIT
prometheus_client,0.21.1,Apache Software License 2.0
protobuf,5.29.1,3-Clause BSD License
pydantic,2.13.4,MIT
pydantic_core,2.46.4,MIT
python-dotenv,1.2.2,BSD-3-Clause
setuptools,84.0.0,MIT
starlette,0.41.3,BSD-3-Clause
typing-inspection,0.4.3,MIT
typing_extensions,4.16.0,PSF-2.0
uvicorn,0.34.0,BSD-3-Clause
uvloop,0.22.1,MIT License
watchfiles,1.2.0,MIT
websockets,17.0.1,BSD-3-Clause
